lat;lng;name;regione;link_images;LINK;Nota;;;;;;;;;;
44.7733095;8.353709;Nizza Monferrato;Piemonte;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/NizzaM.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=nizza+monferrato;;;;;;;;;;;
45.58425;8.545997;Novara;Piemonte;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/Novara.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=novara;;;;;;;;;;;
45.0703901;11.13641;Ostiglia;Veneto;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/Ostiglia.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=ostiglia;;;;;;;;;;;
43.9740957;10.8687081;Pistoia;Toscana;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/Pistoia.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=pistoia;;;;;;;;;;;
44.7951536;8.7848493;Pozzolo Formigaro ;Piemonte;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/PozzoloF.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=pozzolo+;;;;;;;;;;;
43.9357181;11.0941473;Prato;Toscana;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/Prato.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=prato;;;;;;;;;;;
44.9777098;12.2726835;Rovigo;Veneto;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/Rovigo.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=rovigo;;;;;;;;;;;
44.3731656;8.2828303;San Giuseppe al Cairo ;Liguria;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/SgiuseppeC.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=San+Giuseppe+al+Cairo+;;;;;;;;;;;
44.6446052;7.4926009;Saluzzo;Piemonte;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/Saluzzo.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=saluzzo;;;;;;;;;;;
43.8198253;7.7748827;Sanremo;Liguria;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/Sanremo.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=Sanremo;;;;;;;;;;;
44.644037;7.655929;Savigliano;Piemonte;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/Savigliano.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=Savigliano;;;;;;;;;;;
44.2334238;8.2525727;Savona;Liguria;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/Savona.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=Savona;;;;;;;;;;;
45.0677551;7.6824892;Torino;Piemonte;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/Torino.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=Torino;;;;;;;;;;;
44.89666;8.8641282;Tortona;Piemonte;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/Tortona.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=Tortona;;;;;;;;;;;
45.4371908;12.3345898;Venezia;Veneto;https://github.com/mrt-24/MAPPING_itg/blob/main/officine_citta/Venezia.jpg?raw=true;https://heritagelab.italgas.it/digital-archive/search?query=Venezia;;;;;;;;;;;
